City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Santa Rosa,PH,14.3122,121.1114,85.1,69,94,8.21,overcast clouds
300,Garowe,SO,8.4054,48.4845,78.87,73,71,8.32,broken clouds
301,Champerico,GT,14.3,-91.9167,90.14,64,68,7.96,broken clouds
302,Stromness,GB,58.965,-3.296,46.36,90,92,11.01,overcast clouds
303,Trinidad,BO,-14.8333,-64.9,80.58,89,75,0.0,broken clouds
304,Rockport,US,28.0206,-97.0544,84.24,83,40,18.41,scattered clouds
305,Bangkal,PH,6.0667,121.0667,80.53,82,100,3.33,overcast clouds
306,Atakpame,TG,7.5333,1.1333,74.57,83,83,4.7,broken clouds
307,El Dorado,US,38.7666,-120.5177,69.3,45,42,4.0,scattered clouds
308,Altay,CN,47.8667,88.1167,50.85,30,96,9.57,overcast clouds
309,San Jeronimo,PE,-11.9472,-75.2829,51.21,77,77,4.27,broken clouds
310,Ulaanbaatar,MN,47.9077,106.8832,32.13,59,0,2.24,clear sky
311,Sayyan,YE,15.1718,44.3244,63.36,48,90,7.23,overcast clouds
312,Yumen,CN,40.2833,97.2,44.1,31,0,3.27,clear sky
313,Cazones,MX,20.7167,-97.3167,89.4,55,0,11.5,clear sky
314,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,38,11.5,scattered clouds
315,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.28,78,73,6.78,broken clouds
316,San Ignacio,BZ,17.1561,-89.0714,96.94,46,20,6.91,few clouds
317,Puerto Vallarta,MX,20.6204,-105.2307,78.71,69,20,13.8,few clouds
318,Umm Lajj,SA,25.0213,37.2685,81.09,65,51,2.57,broken clouds
319,Lethem,GY,3.3803,-59.7968,81.34,62,66,4.79,broken clouds
320,Cileunyi,ID,-6.9389,107.7528,72.97,92,100,1.99,overcast clouds
321,Ferrenafe,PE,-6.6389,-79.7889,66.02,77,20,21.85,few clouds
322,Hadishahr,AZ,38.8431,45.6635,54.09,75,69,2.82,broken clouds
323,La Palma,US,33.8464,-118.0467,88.95,50,0,11.5,clear sky
324,Chimore,BO,-16.9833,-65.1333,72.27,93,46,3.02,scattered clouds
325,Uray,RU,60.1247,64.7758,31.08,59,33,7.72,scattered clouds
326,Kargasok,RU,59.0556,80.8572,29.68,80,99,6.89,overcast clouds
327,Bani Walid,LY,31.7566,13.9942,60.75,76,50,11.83,scattered clouds
328,Chute-Aux-Outardes,CA,49.1168,-68.399,40.98,75,100,2.3,overcast clouds
329,Provideniya,RU,64.3833,-173.3,32.18,87,100,16.91,light snow
330,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,17.27,few clouds
331,Sabha,LY,27.0377,14.4283,80.92,16,29,20.76,scattered clouds
332,Jatiroto,ID,-7.8833,111.1167,74.8,90,100,2.39,overcast clouds
333,Young,UY,-32.6833,-57.6333,50.61,86,85,5.3,overcast clouds
334,Dole,FR,47.0833,5.5,48.11,58,0,10.36,clear sky
335,Opuwo,NA,-18.0607,13.84,67.53,39,51,3.76,broken clouds
336,Dawlatabad,AF,36.4141,64.9053,77.94,33,84,3.67,broken clouds
337,Kemijarvi,FI,66.7131,27.4306,25.3,89,93,2.37,overcast clouds
338,Coahuayana,MX,18.7333,-103.6833,84.88,42,69,6.91,broken clouds
339,Raga,SS,8.4596,25.678,81.37,54,95,9.22,overcast clouds
340,Mandalgovi,MN,45.7625,106.2708,46.2,33,53,7.07,broken clouds
341,Invercargill,NZ,-46.4,168.35,58.01,88,100,7.0,light rain
342,Sadao,TH,6.6388,100.4234,76.82,98,73,2.06,broken clouds
343,Peresichna,UA,50.0241,35.9826,43.97,77,58,7.25,broken clouds
344,Haizhou,CN,34.5817,119.1289,52.99,43,53,5.82,broken clouds
345,Vila Velha,BR,-20.3297,-40.2925,78.75,86,75,3.44,broken clouds
